,date,name,ratio,div
0,2017-05-06,김사무엘,17.0,0.0
1,2017-05-06,타카다켄타,1.0,0.0
2,2017-05-06,유회승,1.0,0.0
3,2017-05-06,김상빈,1.0,0.0
4,2017-05-06,장문복,100.0,0.0
5,2017-05-06,임영민,34.0,1.0
6,2017-05-06,홍은기,19.0,1.0
7,2017-05-06,김종현,100.0,1.0
8,2017-05-06,노태현,17.0,1.0
9,2017-05-06,박우담,38.0,1.0
10,2017-05-06,정동수,1.0,2.0
11,2017-05-06,유선호,2.0,2.0
12,2017-05-06,권현빈,8.0,2.0
13,2017-05-06,라이관린,10.0,2.0
14,2017-05-06,윤지성,100.0,2.0
15,2017-05-06,김용진,25.0,3.0
16,2017-05-06,이우진,47.0,3.0
17,2017-05-06,김남형,3.0,3.0
18,2017-05-06,배진영,100.0,3.0
19,2017-05-06,박우진,46.0,3.0
20,2017-05-06,이유진,13.0,4.0
21,2017-05-06,주학년,100.0,4.0
22,2017-05-06,저스틴,4.0,4.0
23,2017-05-06,변현민,4.0,4.0
24,2017-05-06,김용국,9.0,4.0
25,2017-05-06,김동현,3.0,5.0
26,2017-05-06,김성리,1.0,5.0
27,2017-05-06,박지훈,100.0,5.0
28,2017-05-06,이대휘,88.0,5.0
29,2017-05-06,정세운,10.0,5.0
30,2017-05-06,박성우,3.0,6.0
31,2017-05-06,김동빈,1.0,6.0
32,2017-05-06,강다니엘,100.0,6.0
33,2017-05-06,이의웅,3.0,6.0
34,2017-05-06,정정,0.0,6.0
35,2017-05-06,우진영,2.0,7.0
36,2017-05-06,김예현,3.0,7.0
37,2017-05-06,서성혁,100.0,7.0
38,2017-05-06,강동호,92.0,7.0
39,2017-05-06,이인수,2.0,7.0
40,2017-05-06,윤희석,7.0,8.0
41,2017-05-06,옹성우,100.0,8.0
42,2017-05-06,이광현,2.0,8.0
43,2017-05-06,김동한,11.0,8.0
44,2017-05-06,이기원,3.0,8.0
45,2017-05-06,이준우,1.0,9.0
46,2017-05-06,안형섭,100.0,9.0
47,2017-05-06,김태우,2.0,9.0
48,2017-05-06,이건희,4.0,9.0
49,2017-05-06,김상균,8.0,9.0
50,2017-05-06,김태동,38.0,10.0
51,2017-05-06,주진우,31.0,10.0
52,2017-05-06,최민기,80.0,10.0
53,2017-05-06,여환웅,22.0,10.0
54,2017-05-06,하성운,100.0,10.0
55,2017-05-06,김재환,37.0,11.0
56,2017-05-06,윤재찬,5.0,11.0
57,2017-05-06,황민현,100.0,11.0
58,2017-05-07,이건희,31.0,0.0
59,2017-05-07,배진영,100.0,0.0
60,2017-05-07,홍은기,18.0,0.0
61,2017-05-07,노태현,17.0,0.0
62,2017-05-07,임영민,41.0,0.0
63,2017-05-07,김상균,100.0,1.0
64,2017-05-07,이기원,18.0,1.0
65,2017-05-07,주진우,40.0,1.0
66,2017-05-07,우진영,26.0,1.0
67,2017-05-07,김태동,42.0,1.0
68,2017-05-07,김종현,43.0,2.0
69,2017-05-07,이인수,4.0,2.0
70,2017-05-07,윤재찬,4.0,2.0
71,2017-05-07,여환웅,6.0,2.0
72,2017-05-07,라이관린,100.0,2.0
73,2017-05-07,정정,2.0,3.0
74,2017-05-07,정세운,47.0,3.0
75,2017-05-07,박우진,24.0,3.0
76,2017-05-07,강동호,100.0,3.0
77,2017-05-07,이광현,4.0,3.0
78,2017-05-07,저스틴,5.0,4.0
79,2017-05-07,김재환,59.0,4.0
80,2017-05-07,김남형,2.0,4.0
81,2017-05-07,김동빈,34.0,4.0
82,2017-05-07,주학년,100.0,4.0
83,2017-05-07,장문복,100.0,5.0
84,2017-05-07,타카다켄타,11.0,5.0
85,2017-05-07,안형섭,77.0,5.0
86,2017-05-07,옹성우,83.0,5.0
87,2017-05-07,정동수,8.0,5.0
88,2017-05-07,강다니엘,100.0,6.0
89,2017-05-07,윤지성,10.0,6.0
90,2017-05-07,김동현,1.0,6.0
91,2017-05-07,김용진,1.0,6.0
92,2017-05-07,윤희석,0.0,6.0
93,2017-05-07,박지훈,100.0,7.0
94,2017-05-07,박성우,7.0,7.0
95,2017-05-07,이우진,10.0,7.0
96,2017-05-07,김상빈,2.0,7.0
97,2017-05-07,김태우,11.0,7.0
98,2017-05-07,유선호,100.0,8.0
99,2017-05-07,이유진,48.0,8.0
100,2017-05-07,김예현,11.0,8.0
101,2017-05-07,박우담,59.0,8.0
102,2017-05-07,변현민,10.0,8.0
103,2017-05-07,권현빈,95.0,9.0
104,2017-05-07,황민현,79.0,9.0
105,2017-05-07,김사무엘,100.0,9.0
106,2017-05-07,유회승,10.0,9.0
107,2017-05-07,서성혁,37.0,9.0
108,2017-05-07,이준우,2.0,10.0
109,2017-05-07,김용국,11.0,10.0
110,2017-05-07,이대휘,100.0,10.0
111,2017-05-07,김성리,2.0,10.0
112,2017-05-07,이의웅,15.0,10.0
113,2017-05-07,하성운,100.0,11.0
114,2017-05-07,최민기,83.0,11.0
115,2017-05-07,김동한,46.0,11.0
116,2017-05-08,김종현,100.0,0.0
117,2017-05-08,노태현,51.0,0.0
118,2017-05-08,홍은기,21.0,0.0
119,2017-05-08,김용국,38.0,0.0
120,2017-05-08,하성운,67.0,0.0
121,2017-05-08,여환웅,4.0,1.0
122,2017-05-08,강동호,42.0,1.0
123,2017-05-08,윤지성,100.0,1.0
124,2017-05-08,김재환,11.0,1.0
125,2017-05-08,박우담,6.0,1.0
126,2017-05-08,장문복,100.0,2.0
127,2017-05-08,안형섭,55.0,2.0
128,2017-05-08,황민현,56.0,2.0
129,2017-05-08,정동수,9.0,2.0
130,2017-05-08,정세운,33.0,2.0
131,2017-05-08,타카다켄타,16.0,3.0
132,2017-05-08,주학년,100.0,3.0
133,2017-05-08,주진우,20.0,3.0
134,2017-05-08,이의웅,35.0,3.0
135,2017-05-08,김상균,35.0,3.0
136,2017-05-08,윤재찬,17.0,4.0
137,2017-05-08,임영민,58.0,4.0
138,2017-05-08,배진영,100.0,4.0
139,2017-05-08,김동현,24.0,4.0
140,2017-05-08,이광현,8.0,4.0
141,2017-05-08,권현빈,100.0,5.0
142,2017-05-08,서성혁,34.0,5.0
143,2017-05-08,이인수,14.0,5.0
144,2017-05-08,이우진,35.0,5.0
145,2017-05-08,김태동,31.0,5.0
146,2017-05-08,저스틴,0.0,6.0
147,2017-05-08,윤희석,1.0,6.0
148,2017-05-08,강다니엘,100.0,6.0
149,2017-05-08,김사무엘,5.0,6.0
150,2017-05-08,김예현,0.0,6.0
151,2017-05-08,김성리,2.0,7.0
152,2017-05-08,김동빈,44.0,7.0
153,2017-05-08,이대휘,100.0,7.0
154,2017-05-08,우진영,8.0,7.0
155,2017-05-08,유회승,6.0,7.0
156,2017-05-08,이유진,5.0,8.0
157,2017-05-08,이건희,9.0,8.0
158,2017-05-08,김상빈,2.0,8.0
159,2017-05-08,박지훈,100.0,8.0
160,2017-05-08,정정,1.0,8.0
161,2017-05-08,최민기,17.0,9.0
162,2017-05-08,옹성우,75.0,9.0
163,2017-05-08,이기원,4.0,9.0
164,2017-05-08,라이관린,100.0,9.0
165,2017-05-08,변현민,3.0,9.0
166,2017-05-08,이준우,2.0,10.0
167,2017-05-08,박성우,11.0,10.0
168,2017-05-08,유선호,100.0,10.0
169,2017-05-08,박우진,17.0,10.0
170,2017-05-08,김동한,6.0,10.0
171,2017-05-08,김태우,47.0,11.0
172,2017-05-08,김남형,4.0,11.0
173,2017-05-08,김용진,100.0,11.0
174,2017-05-09,김재환,25.0,0.0
175,2017-05-09,박우진,32.0,0.0
176,2017-05-09,김예현,4.0,0.0
