,date,name,ratio,div
0,2017-03-10,정동수,0,0
1,2017-03-10,최승혁,1,0
2,2017-03-10,하민호,1,0
3,2017-03-10,김찬,0,0
4,2017-03-10,박성우,100,0
5,2017-03-10,하성운,100,1
6,2017-03-10,임영민,1,1
7,2017-03-10,김성리,0,1
8,2017-03-10,박희석,0,1
9,2017-03-10,조진형,1,1
10,2017-03-10,최동하,1,2
11,2017-03-10,최재우,2,2
12,2017-03-10,이의웅,100,2
13,2017-03-10,김재한,8,2
14,2017-03-10,김용진,19,2
15,2017-03-10,김상균,10,3
16,2017-03-10,정중지,100,3
17,2017-03-10,한종연,27,3
18,2017-03-10,조규민,20,3
19,2017-03-10,김예현,2,3
20,2017-03-10,타카다켄타,22,4
21,2017-03-10,김태동,80,4
22,2017-03-10,정효준,57,4
23,2017-03-10,이후림,100,4
24,2017-03-10,김재환,97,4
25,2017-03-10,장문복,100,5
26,2017-03-10,성현우,0,5
27,2017-03-10,김태우,0,5
28,2017-03-10,주학년,4,5
29,2017-03-10,남윤성,0,5
30,2017-03-10,이기원,0,6
31,2017-03-10,이대휘,100,6
32,2017-03-10,왕민혁,0,6
33,2017-03-10,권협,4,6
34,2017-03-10,김시현,3,6
35,2017-03-10,최민기,31,7
36,2017-03-10,이인수,12,7
37,2017-03-10,이광현,15,7
38,2017-03-10,이유진,100,7
39,2017-03-10,최준영,12,7
40,2017-03-10,윤용빈,100,8
41,2017-03-10,이준우,19,8
42,2017-03-10,유회승,4,8
43,2017-03-10,변현민,90,8
44,2017-03-10,최태웅,45,8
45,2017-03-10,홍은기,100,9
46,2017-03-10,장대현,51,9
47,2017-03-10,최희수,31,9
48,2017-03-10,이서규,16,9
49,2017-03-10,김용국,26,9
50,2017-03-10,유호연,3,10
51,2017-03-10,김동한,14,10
52,2017-03-10,황민현,27,10
53,2017-03-10,배진영,100,10
54,2017-03-10,라이관린,44,10
55,2017-03-10,정정,8,11
56,2017-03-10,김동현,100,11
57,2017-03-10,김현우,25,11
58,2017-03-10,김도현,9,11
59,2017-03-10,유진원,3,11
60,2017-03-10,이건민,0,12
61,2017-03-10,이지한,2,12
62,2017-03-10,안형섭,30,12
63,2017-03-10,정세운,100,12
64,2017-03-10,박우담,1,12
