,name,agency, birthday,age,trainee_dur,dur_month,season,Named label,CJ label,Remarks,final_rank,ep1_rank,ep2_rank,ep3_rank,rank1st,ep6_rank,rank2nd,rank3rd
73,김관우,크레이지,,23,1년 10개월,13,4,0,0,,,80,75,80,80,61,61,
74,오새봄,NEST,,26,7개월,7,4,0,0,,,99,76,64,69,61,61,
75,유건민,밀리언마켓,,22,3년 2개월,38,4,0,0,,,101,77,68,70,61,61,
76,김동규,얼반웍스,,20,7개월,7,4,0,0,,,76,78,84,99,61,61,
77,김형민,키위미디어그룹,,21,1년 2개월,14,4,0,0,,,97,79,89,90,61,61,
78,김승환,ESteem,,21,1년 2개월,14,4,1,0,,,81,80,83,89,61,61,
79,윤현조,Gost,,23,8개월,8,4,0,0,,,98,81,90,96,61,61,
80,성민서,SF,,19,1년,12,4,0,0,,,92,82,92,87,61,61,
81,이원준,E엔터,,18,9개월,9,4,0,0,,,77,83,43,44,36,47,
82,박윤솔,NEST,,24,2년 1개월,25,4,0,0,,,82,84,49,43,43,48,
83,윤민국,쏘스뮤직,,19,2년 1개월,25,4,0,0,,,96,85,99,92,61,61,
84,김준재,띵크어바웃,,20,1년 3개월,15,4,0,0,,,87,86,87,94,61,61,
85,김민서,얼반웍스,,18,1년 2개월,14,4,0,0,김민서A,,89,87,94,82,61,61,
86,이재빈,C9,,20,1년 4개월,16,4,0,0,,,73,88,91,95,61,61,
87,허진호,애스토리,,22,1년 3개월,15,4,0,0,,,94,89,93,83,61,61,
88,이상호,Gost,,23,5개월,5,4,0,0,,,95,90,96,88,61,61,
89,임다훈,키위미디어그룹,,20,2년 2개월,26,4,0,0,,,100,91,98,97,61,61,
90,최진화,WUZO,,18,7개월,7,4,0,0,,,75,92,81,74,61,61,
91,유성준,위에화,,19,2년 3개월,27,4,0,0,,,78,93,95,86,61,61,
92,최병훈,앙팡테리블,,20,1년 1개월,13,4,0,0,,,91,94,97,98,61,61,
93,박시온,플라즈마,,18,5개월,5,4,0,0,,,84,95,85,93,61,61,
94,우에하라준,JH1,,24,2년 3개월,27,4,0,0,,,88,96,82,91,61,61,
95,이규형,WM,,26,5년 6개월,66,4,0,0,,,85,97,86,76,61,61,
96,홍성현,얼반웍스,,24,2년,24,4,0,0,,,85,98,88,85,61,61,
97,원혁,E엔터,,18,1년 2개월,14,4,0,0,,,83,99,57,57,48,33,
