,name,agency, birthday,age,trainee_dur,dur_month,season,Named label,CJ label,Remarks,final_rank,ep1_rank,ep2_rank,ep3_rank,rank1st,ep6_rank,rank2nd,rank3rd
32,이건희,RBW,1998.6.27,21,6개월,6,2,0,0,,33,17,24,27,29,29,30,33
33,이우진,미디어라인,2003.4.2,16,3년 1개월,37,2,0,0,,34,20,22,21,18,22,26,34
34,박우담,HF뮤직 컴퍼니,1995.8.2,24,7개월,7,2,0,0,,35,59,57,68,55,21,28,35
35,정동수,에스하우,1991.5.11,28,5년 2개월,62,2,0,0,,36,60,52,36,35,30,36,
36,박성우,HIM,1988.6.7,31,3년 3개월,39,2,0,0,,37,12,13,17,22,31,37,
37,홍은기,GON,1997.9.30,22,6년 1개월,73,2,0,0,,38,29,31,41,36,38,38,
38,유회승,FNC,1995.2.28,24,5개월,5,2,1,0,,39,43,39,49,56,36,39,
39,우진영,HF뮤직 컴퍼니,1997.5.31,22,11개월,1,2,0,0,,40,55,50,45,42,40,40,
40,주진우,MMO,1993.12.17,26,4년 3개월,51,2,0,1,,41,77,80,77,45,42,41,
41,여환웅,RBW,1998.8.26,21,1년 3개월,15,2,0,0,,42,32,32,39,49,54,42,
42,저스틴,위에화,2002.2.19,17,1년 3개월,15,2,0,0,,43,18,21,26,31,48,43,
43,이광현,스타쉽,1998.7.23,21,10개월,1,2,1,0,,44,45,47,40,44,43,44,
44,변현민,K타이거즈,1999.4.17,20,1년 2개월,14,2,0,0,,45,52,70,73,52,44,45,
45,윤희석,젤리피쉬,1997.6.10,22,6개월,6,2,1,1,,46,25,26,32,30,45,46,
46,김성리,C2K,1994.4.6,25,5년 2개월,62,2,0,0,,47,69,60,53,46,51,47,
47,김상빈,개인연습생,1995.8.30,24,2년 8개월,32,2,0,0,,48,46,51,55,60,39,48,
48,김태우,나르다,1993.12.16,26,6년,72,2,0,0,,49,28,34,44,38,49,49,
49,이준우,에프이엔티,1998.10.18,21,11개월,1,2,0,0,,50,30,36,33,41,58,50,
50,정정,위에화,1996.3.18,23,1년 8개월,20,2,0,0,,51,31,29,42,50,57,51,
51,김남형,에스하우,1993.6.24,26,5년 2개월,62,2,0,0,,52,75,58,46,54,47,52,
52,이기원,2Y,1996.6.27,23,4년 7개월,55,2,0,0,,53,63,65,58,58,46,53,
53,이유진,나무엑터스,1992.4.6,27,6년 1개월,73,2,1,0,,54,58,42,48,48,50,54,
54,윤재찬,더바이브레이블,1999.11.30,20,10개월,1,2,0,0,,55,67,55,60,59,52,55,
55,김용진,윙즈,1997.2.20,22,3년 3개월,39,2,0,0,,56,88,84,61,53,53,56,
56,이인수,개인연습생,1996.1.16,23,2년 8개월,32,2,0,0,,57,33,30,43,57,56,57,
57,김동빈,키위미디어그룹,2001.3.19,18,7개월,7,2,0,0,,58,40,37,25,33,59,58,
58,성현우,더바이브레이블,1996.12.31,23,4년 7개월,55,2,0,0,,61,54,67,84,61,,,
59,주원탁,투에이블 컴퍼니,1996.2.24,23,4년 2개월,50,2,0,0,,62,92,83,94,62,,,
60,최동하,개인연습생,1996.1.18,23,4년 4개월,52,2,0,0,,63,38,35,51,63,,,
61,정중지,웨이즈 컴퍼니,1992.9.5,27,1년 2개월,14,2,0,0,,64,64,77,59,64,,,
62,권협,마루기획,1998.2.10,21,1년 2개월,14,2,1,0,,65,41,41,52,65,,,
63,임우혁,블레싱,1994.11.30,25,3년 3개월,39,2,0,0,,66,49,53,57,66,,,
64,정효준,YG케이플러스,1992.10.19,27,3개월,3,2,1,0,,67,36,44,54,67,,,
65,손동명,RBW,2000.1.10,19,2년 1개월,25,2,0,0,,68,53,61,69,68,,,
66,이서규,IT,1998.7.1,21,2년 4개월,28,2,0,0,,69,91,43,50,69,,,
67,김현우,YG케이플러스,1998.6.15,21,3개월,3,2,1,0,,70,66,82,89,70,,,
68,최태웅,MMO,1994.1.26,25,4년 3개월,51,2,0,1,,71,76,71,65,71,,,
69,조진형,CS,1996.10.13,23,2년 2개월,26,2,0,0,,72,85,92,75,72,,,
70,윤용빈,바나나,1995.11.27,24,1년 2개월,14,2,0,0,,73,80,73,67,73,,,
71,한민호,IT,1997.9.9,22,1년 9개월,21,2,0,0,,74,84,96,82,74,,,
72,유진원,블레싱,1997.2.25,22,10개월,1,2,0,0,,75,79,87,70,75,,,
73,김연국,아이원,1995.2.8,24,1년,12,2,0,0,,76,97,91,92,76,,,
74,정시현,지엔아이,1991.3.6,28,2년 7개월,31,2,0,0,,77,48,56,62,77,,,
75,김찬율,더잭키찬그룹,1992.2.27,27,2년 8개월,32,2,0,0,,78,93,90,96,78,,,
76,최승혁,위에화,1999.12.14,20,1년 2개월,14,2,0,0,,79,70,76,64,79,,,
77,이후림,YG케이플러스,1992.7.23,27,3개월,3,2,1,0,,80,62,68,76,80,,,
78,김재한,MMO,1995.7.1,24,1년 2개월,14,2,0,1,,81,83,64,72,81,,,
79,김찬,개인연습생,1996.6.1,23,2년 4개월,28,2,0,0,,82,39,40,56,82,,,
80,장대현,위,1997.2.11,22,9개월,9,2,0,0,,83,51,54,66,83,,,
81,유경목,토탈셋,1994.7.20,25,9년 2개월,110,2,0,0,,84,78,62,74,84,,,
82,최하돈,더잭키찬그룹,1993.5.14,26,8년 2개월,98,2,0,0,,85,73,86,91,85,,,
83,박희석,지니스타즈,1992.8.7,27,5년 4개월,64,2,0,0,,86,89,66,87,86,,,
84,유호연,아이원,1998.2.6,21,1년 2개월,14,2,0,0,,87,96,95,93,87,,,
85,조규민,IMX,1993.8.26,26,4년 3개월,51,2,0,0,,88,94,89,97,88,,,
86,왕민혁,지니스타즈,1994.10.17,25,1년 10개월,13,2,0,0,,89,98,85,98,89,,,
87,최준영,에스티엘,1996.11.27,23,3년 7개월,43,2,0,0,,90,83,98,81,90,,,
88,조성욱,위,1996.6.19,23,2개월,2,2,0,0,,91,87,97,90,91,,,
89,김도현,지니스타즈,1992.1.23,27,4년 4개월,52,2,0,0,,92,86,69,86,92,,,
90,조용근,HF뮤직 컴퍼니,1995.1.23,24,1년 2개월,14,2,0,0,,93,65,59,71,93,,,
91,이건민,RBW,1996.6.7,23,1년 2개월,14,2,0,0,,94,56,81,83,94,,,
92,정원철,HF뮤직 컴퍼니,1996.1.12,23,2년 9개월,33,2,0,0,,95,81,72,85,95,,,
93,최희수,아이원,1997.1.1,22,1년 4개월,16,2,0,0,,96,68,79,79,96,,,
94,최재우,RBW,1997.9.30,22,1년 4개월,16,2,0,0,,97,74,94,80,97,,,
95,이지한,팬,1998.8.3,21,1년 11개월,13,2,0,0,,98,90,74,88,98,,,
