,name,agency, birthday,age,trainee_dur,dur_month,season,Named label,CJ label,Remarks,final_rank,ep1_rank,ep2_rank,ep3_rank,rank1st,ep6_rank,rank2nd,rank3rd
0,강다니엘,MMO,1996.12.10,23,2년 1개월,25,2,0,1,,1,23,23,12,5,2,8,1
1,박지훈,마루기획,1999.5.29,20,1년 9개월,21,2,1,0,,2,1,1,1,1,3,3,2
2,이대휘,브랜뉴뮤직,2001.1.29,18,2년 4개월,28,2,1,0,,3,3,3,2,7,10,4,10
3,김재환,개인연습생,1996.5.27,23,4년 2개월,50,2,0,0,,4,27,18,18,16,7,9,13
4,옹성우,판타지오,1995.8.25,24,8개월,8,2,1,0,,5,8,4,4,4,6,7,8
5,박우진,브랜뉴뮤직,1999.11.2,20,1년 2개월,14,2,1,0,,6,72,75,38,24,16,14,6
6,라이관린,큐브,2001.9.23,18,6개월,6,2,1,0,,7,10,6,7,9,5,2,20
7,윤지성,MMO,1991.3.8,28,5년 3개월,63,2,0,1,,8,35,19,9,3,13,15,9
8,황민현,플레디스,1995.8.9,24,6년 3개월,75,2,1,0,,9,11,9,16,11,4,6,11
9,배진영,C9,2000.5.10,19,10개월,1,2,0,0,,10,5,12,10,12,14,12,4
10,하성운,아더앤에이블,1994.3.22,25,2년 3개월,27,2,0,0,,11,34,28,23,21,27,25,3
11,정세운,스타쉽,1997.5.31,22,2년 6개월,30,2,1,0,,12,13,17,11,13,15,17,19
12,강동호,플레디스,1995.7.21,24,7년 2개월,86,2,1,0,,13,19,14,20,20,8,11,12
13,김종현,플레디스,1995.6.8,24,8년 2개월,98,2,1,0,,14,15,11,13,8,1,1,7
14,임영민,브랜뉴뮤직,1995.12.25,24,1년 2개월,14,2,1,0,,15,24,27,31,27,12,5,17
15,안형섭,위에화,1999.8.9,20,1년 5개월,17,2,0,0,,16,7,7,5,6,20,19,14
16,유선호,큐브,2002.1.28,17,6개월,6,2,1,0,,17,22,16,15,15,11,13,16
17,김사무엘,브레이브,2002.1.17,17,5년 3개월,63,2,0,0,,18,6,2,3,2,17,16,5
18,주학년,크래커,1999.3.9,20,2년 1개월,25,2,0,0,,19,4,8,6,10,9,10,18
19,최민기,플레디스,1995.11.3,24,7년 2개월,86,2,1,0,,20,14,15,19,19,18,20,15
20,김용국,춘,1996.3.2,23,1년 6개월,18,2,0,0,,21,44,49,37,34,35,18,21
21,권현빈,YG케이플러스,1997.3.4,22,3개월,3,2,1,0,,22,16,20,22,23,33,34,22
22,이의웅,위에화,2001.4.5,18,9개월,9,2,0,0,,23,9,10,14,17,25,23,23
23,타카다켄타,스타로드,1995.1.10,24,1년 3개월,15,2,0,0,,24,21,25,29,28,24,31,24
24,노태현,아더앤에이블,1993.10.15,26,3년 9개월,45,2,0,0,,25,61,48,24,26,32,21,25
25,김상균,후너스,1995.5.23,24,5년 2개월,62,2,0,0,,26,47,38,47,43,23,27,26
26,장문복,오앤오,1995.4.11,24,2년,24,2,0,0,,27,2,5,8,14,26,32,27
27,김동현,브랜뉴뮤직,1998.9.17,21,11개월,1,2,1,0,,28,42,46,35,39,41,29,28
28,김동한,위,1998.7.3,21,1년 6개월,18,2,0,0,,29,57,78,78,37,34,35,29
29,김태동,더바이브레이블,1997.11.7,22,2년 1개월,25,2,0,0,,30,37,45,28,25,28,22,30
30,서성혁,WH크레이티브,1999.8.26,20,6개월,6,2,0,0,,31,95,88,95,51,19,24,31
31,김예현,위드메이,1999.9.12,20,9개월,9,2,0,0,,32,71,93,34,40,55,33,32
