,date,name,ratio,div
0,2016-03-12,이수민,10.0,0.0
1,2016-03-12,유연정,15.0,0.0
2,2016-03-12,김세정,100.0,0.0
3,2016-03-12,권은빈,23.0,0.0
4,2016-03-12,이수현,4.0,0.0
5,2016-03-12,안예슬,20.0,1.0
6,2016-03-12,기희현,25.0,1.0
7,2016-03-12,주결경,68.0,1.0
8,2016-03-12,강미나,100.0,1.0
9,2016-03-12,김소희,40.0,1.0
10,2016-03-12,김서경,2.0,2.0
11,2016-03-12,정채연,65.0,2.0
12,2016-03-12,윤채경,4.0,2.0
13,2016-03-12,최유정,100.0,2.0
14,2016-03-12,전소연,11.0,2.0
15,2016-03-12,임나영,23.0,3.0
16,2016-03-12,응씨카이,11.0,3.0
17,2016-03-12,김청하,47.0,3.0
18,2016-03-12,김소혜,100.0,3.0
19,2016-03-12,정은우,22.0,3.0
20,2016-03-12,박소연,7.0,4.0
21,2016-03-12,황인선,19.0,4.0
22,2016-03-12,성혜민,6.0,4.0
23,2016-03-12,전소미,100.0,4.0
24,2016-03-12,김주나,11.0,4.0
25,2016-03-12,이해인,44.0,5.0
26,2016-03-12,김나영,52.0,5.0
27,2016-03-12,허찬미,100.0,5.0
28,2016-03-12,김도연,66.0,5.0
29,2016-03-12,김다니,64.0,5.0
30,2016-03-12,강시라,58.0,6.0
31,2016-03-12,박시연,89.0,6.0
32,2016-03-12,김형은,86.0,6.0
33,2016-03-12,한혜리,100.0,6.0
34,2016-03-12,강예빈,96.0,6.0
35,2016-03-13,강시라,8.0,0.0
36,2016-03-13,김주나,26.0,0.0
37,2016-03-13,박시연,26.0,0.0
38,2016-03-13,권은빈,100.0,0.0
39,2016-03-13,이수현,15.0,0.0
40,2016-03-13,이해인,91.0,1.0
41,2016-03-13,김서경,19.0,1.0
42,2016-03-13,임나영,99.0,1.0
43,2016-03-13,정은우,100.0,1.0
44,2016-03-13,김형은,38.0,1.0
45,2016-03-13,기희현,13.0,2.0
46,2016-03-13,전소미,100.0,2.0
47,2016-03-13,유연정,18.0,2.0
48,2016-03-13,응씨카이,8.0,2.0
49,2016-03-13,박소연,10.0,2.0
50,2016-03-13,김나영,21.0,3.0
51,2016-03-13,성혜민,6.0,3.0
52,2016-03-13,안예슬,9.0,3.0
53,2016-03-13,정채연,100.0,3.0
54,2016-03-13,김청하,34.0,3.0
55,2016-03-13,김도연,14.0,4.0
56,2016-03-13,최유정,100.0,4.0
57,2016-03-13,윤채경,3.0,4.0
58,2016-03-13,전소연,9.0,4.0
59,2016-03-13,황인선,11.0,4.0
60,2016-03-13,한혜리,12.0,5.0
61,2016-03-13,김다니,14.0,5.0
62,2016-03-13,강미나,26.0,5.0
63,2016-03-13,김세정,100.0,5.0
64,2016-03-13,김소혜,51.0,5.0
65,2016-03-13,김소희,62.0,6.0
66,2016-03-13,강예빈,30.0,6.0
67,2016-03-13,주결경,100.0,6.0
68,2016-03-13,이수민,84.0,6.0
69,2016-03-13,허찬미,73.0,6.0
70,2016-03-14,박시연,31.0,0.0
71,2016-03-14,전소미,100.0,0.0
72,2016-03-14,김소혜,81.0,0.0
73,2016-03-14,응씨카이,10.0,0.0
74,2016-03-14,주결경,42.0,0.0
75,2016-03-14,한혜리,70.0,1.0
76,2016-03-14,기희현,77.0,1.0
77,2016-03-14,정은우,100.0,1.0
78,2016-03-14,박소연,58.0,1.0
79,2016-03-14,성혜민,34.0,1.0
80,2016-03-14,정채연,56.0,2.0
81,2016-03-14,김나영,15.0,2.0
82,2016-03-14,김청하,22.0,2.0
83,2016-03-14,이수현,4.0,2.0
84,2016-03-14,최유정,100.0,2.0
