,date,name,ratio,div
0,2019-06-01,유리,3.0,0.0
1,2019-06-01,구정모,4.0,0.0
2,2019-06-01,이태승,0.0,0.0
3,2019-06-01,송형준,100.0,0.0
4,2019-06-01,금동현,2.0,0.0
5,2019-06-01,김동빈,1.0,1.0
6,2019-06-01,강현수,100.0,1.0
7,2019-06-01,문현빈,0.0,1.0
8,2019-06-01,김성연,0.0,1.0
9,2019-06-01,정재훈,1.0,1.0
10,2019-06-01,김현빈,100.0,2.0
11,2019-06-01,권희준,16.0,2.0
12,2019-06-01,강민희,38.0,2.0
13,2019-06-01,원혁,37.0,2.0
14,2019-06-01,이협,10.0,2.0
15,2019-06-01,남동현,100.0,3.0
16,2019-06-01,최수환,19.0,3.0
17,2019-06-01,황윤성,19.0,3.0
18,2019-06-01,박윤솔,6.0,3.0
19,2019-06-01,윤정환,6.0,3.0
20,2019-06-01,한기찬,3.0,4.0
21,2019-06-01,이진혁,100.0,4.0
22,2019-06-01,김민규,49.0,4.0
23,2019-06-01,김국헌,19.0,4.0
24,2019-06-01,김시훈,6.0,4.0
25,2019-06-01,손동표,53.0,5.0
26,2019-06-01,한승우,100.0,5.0
27,2019-06-01,최준성,4.0,5.0
28,2019-06-01,홍성준,1.0,5.0
29,2019-06-01,김동윤,2.0,5.0
30,2019-06-01,송유빈,24.0,6.0
31,2019-06-01,김우석,62.0,6.0
32,2019-06-01,김요한,100.0,6.0
33,2019-06-01,토니,3.0,6.0
34,2019-06-01,픽,1.0,6.0
35,2019-06-01,김민서,20.0,7.0
36,2019-06-01,위자월,10.0,7.0
37,2019-06-01,강석화,10.0,7.0
38,2019-06-01,조승연,100.0,7.0
39,2019-06-01,우제원,6.0,7.0
40,2019-06-01,최병찬,3.0,8.0
41,2019-06-01,주창욱,0.0,8.0
42,2019-06-01,권태은,1.0,8.0
43,2019-06-01,박선호,4.0,8.0
44,2019-06-01,이세진,100.0,8.0
45,2019-06-01,백진,39.0,9.0
46,2019-06-01,차준호,65.0,9.0
47,2019-06-01,이진우,100.0,9.0
48,2019-06-01,문준호,3.0,9.0
49,2019-06-01,이우진,25.0,9.0
50,2019-06-01,이원준,19.0,10.0
51,2019-06-01,남도현,100.0,10.0
52,2019-06-01,함원진,33.0,10.0
53,2019-06-01,히다카마히로,5.0,10.0
54,2019-06-01,왕군호,6.0,10.0
55,2019-06-01,이유진,90.0,11.0
56,2019-06-01,이한결,65.0,11.0
57,2019-06-01,이은상,100.0,11.0
58,2019-06-01,이미담,26.0,11.0
59,2019-06-01,김성현,14.0,11.0
60,2019-06-02,원혁,14.0,0.0
61,2019-06-02,우제원,7.0,0.0
62,2019-06-02,윤정환,9.0,0.0
63,2019-06-02,구정모,100.0,0.0
64,2019-06-02,금동현,50.0,0.0
65,2019-06-02,김성현,7.0,1.0
66,2019-06-02,문현빈,2.0,1.0
