,name,agency, birthday,age,trainee_dur,dur_month,season,Named label,CJ label,Remarks,final_rank,ep1_rank,ep2_rank,ep3_rank,rank1st,ep6_rank,rank2nd,rank3rd
35,강시원,개인연습생,1996.5.16,23,2년,24,1,0,0,,36,46,45,39,39,29,36,
36,윤서형,앤어거스트,1995.5.8,24,2개월,2,1,0,0,,37,58,25,22,29,35,37,
37,박해영,투에이블 컴퍼니,1998.5.13,21,1년,12,1,0,0,,38,97,81,79,43,38,38,
38,황수연,해피페이스,1992.10.15,27,6년 4개월,76,1,0,0,,39,69,63,56,56,36,39,
39,김시현,개인연습생,1999.8.5,20,1년,12,1,0,0,김시현A,40,22,30,36,35,37,40,
40,조시윤,DSP 미디어,1996.2.21,23,4년 4개월,52,1,1,0,,41,21,15,17,27,41,41,
41,김민경,플레디스,1997.7.29,22,2년 1개월,25,1,1,0,,42,26,29,32,42,40,42,
42,박세희,케이코닉,1993.5.17,26,1년 2개월,14,1,0,0,,43,60,58,48,49,52,43,
43,김민지,케이코닉,1993.1.20,26,4년 3개월,51,1,0,0,,44,44,44,38,34,43,44,
44,김민정,개인연습생,2002.5.20,17,5년 6개월,66,1,0,0,,45,29,34,43,51,39,45,
45,추예진,판타지오,2001.10.11,18,2년 5개월,29,1,1,0,,46,36,37,42,50,47,46,
46,정해림,판타지오,1998.7.20,21,3년,36,1,1,0,,47,47,57,54,44,44,47,
47,강경원,플레디스,1997.11.5,22,1년 7개월,19,1,1,0,,48,49,40,37,31,42,48,
48,오서정,M&H,1995.7.23,24,2년 3개월,27,1,0,0,,49,51,42,31,41,49,49,
49,김태하,스타쉽,1998.6.3,21,5년 4개월,64,1,1,0,,50,17,19,27,33,55,50,
50,박하이,케니스타,1988.1.18,31,2년,24,1,0,0,,51,43,50,50,54,45,51,
51,박가을,애스토리,1999.5.8,20,6개월,6,1,0,0,,52,87,100,75,46,51,52,
52,유수아,MJ,1997.1.17,22,1년,12,1,0,0,,53,64,78,65,57,48,53,
53,이진희,케이코닉,1991.8.28,28,3년 3개월,39,1,0,0,,54,83,65,46,47,54,54,
54,아리요시리사,티핑,1993.11.13,26,4개월,4,1,0,0,,55,62,72,49,48,50,55,
55,황아영,해피페이스,1995.11.23,24,6년 4개월,76,1,0,0,,56,81,70,64,61,53,56,
56,임정민,야마앤핫칙스,2000.12.27,19,10개월,1,1,0,0,,57,31,35,35,53,56,57,
57,김연경,마이다스,1905.6.18,114,1년 9개월,21,1,0,0,,58,75,83,88,52,60,58,
58,이윤서,큐브,1905.6.24,114,1년 6개월,18,1,1,0,,59,18,21,29,38,58,59,
59,심채은,스타쉽,1999.10.3,20,4년 9개월,57,1,1,0,,60,40,46,51,58,57,60,
60,강시현,스타제국,1998.7.15,21,1년 3개월,15,1,0,0,,61,33,53,52,60,59,61,
61,김다정,안녕뮤직,1995.8.8,24,2년 2개월,26,1,0,0,,62,45,61,59,62,,,
62,안유미,블레싱,1997.8.7,22,1년 2개월,14,1,0,0,,63,92,98,90,63,,,
63,김시현,해피페이스,1999.5.10,20,4개월,4,1,0,0,김시현B,64,57,71,69,64,,,
64,서혜린,SS,1995.8.21,24,5년,60,1,0,0,,65,25,32,44,65,,,
65,황리유,nh emg,1905.6.20,114,2년 8개월,40,1,0,0,,66,96,64,61,66,,,
66,황세영,라우더스,1905.6.16,114,1년 4개월,24,1,0,0,,67,78,59,57,67,,,
67,김지성,해피페이스,1996.10.30,23,6년 4개월,76,1,0,0,,68,77,84,66,68,,,
68,김수현,미스틱,2000.1.15,19,11개월,1,1,1,0,,69,41,47,47,69,,,
69,최은빈,넥스타,1993.4.6,26,3년 10개월,37,1,0,0,,70,90,77,72,70,,,
70,박민지,매직프레쉬 컴퍼니,1999.3.31,20,6개월,6,1,0,0,,71,70,82,85,71,,,
71,함예지,스타플레닛,1994.7.8,25,2년 7개월,31,1,0,0,,72,101,62,60,72,,,
72,김미소,MJ,2000.4.29,19,5개월,5,1,0,0,,73,52,74,63,73,,,
73,김우정,해피페이스,1905.6.14,114,7년 4개월,88,1,0,0,,74,67,90,82,74,,,
74,허샘,MJ,1993.8.7,26,1년 11개월,13,1,0,0,,75,61,66,67,75,,,
75,한지연,마이다스,1995.3.16,24,1년 6개월,18,1,0,0,,76,55,55,58,76,,,
76,니와시오리,마제스티,1994.6.23,25,1년 2개월,14,1,0,0,,77,68,69,71,77,,,
77,편강윤,M2 프로젝트,1992.4.7,27,6년 4개월,76,1,0,0,,78,95,75,68,78,,,
78,이수현,해피페이스,1996.3.12,23,4개월 1주,4,1,0,0,이수현A,79,71,89,94,79,,,
79,김홍은,해피페이스,1999.8.25,20,1년 10개월,13,1,0,0,,80,80,91,80,80,,,
80,김도희,블레싱,1997.6.16,22,8개월,8,1,0,0,,81,48,68,70,81,,,
81,김설아,이큐브 미디어,1905.6.13,114,3년 4개월,40,1,0,0,,82,91,80,86,82,,,
82,오한아름,블레싱,1998.1.19,21,2년 2개월,26,1,0,0,,83,66,85,92,83,,,
83,김윤지,스타제국,1996.8.26,23,2년 5개월,29,1,0,0,,84,94,94,78,84,,,
84,이서정,라우더스,2000.1.7,19,1년 1개월,13,1,0,0,,85,100,96,95,85,,,
85,김자연,해피페이스,1991.3.7,28,4개월 2주,4,1,0,0,,86,99,97,84,86,,,
86,이채린,마이다스,1999.10.20,20,1년 6개월,18,1,0,0,,87,74,93,91,87,,,
87,최유빈,마이다스,1999.7.28,20,1년 5개월,17,1,0,0,,88,56,67,74,88,,,
88,캐서린리,마이다스,1905.6.23,114,10개월,1,1,0,0,,89,72,73,73,89,,,
89,신혜현,마이다스,1999.5.15,20,1년 5개월,17,1,0,0,,90,85,86,93,90,,,
90,남수진,매직프레쉬 컴퍼니,1995.6.14,24,9개월,9,1,0,0,,91,82,76,81,91,,,
91,김솔이,블레싱,2001.6.10,18,1년 2개월,14,1,0,0,,92,98,95,96,92,,,
92,이세흔,넥스트레벨,1999.7.11,20,2년,24,1,0,0,,93,86,92,89,93,,,
93,방준희,블레싱,1998.11.17,21,1년 6개월,18,1,0,0,,94,73,88,97,94,,,
94,윤유담,FM,1997.6.23,22,1년 4개월,16,1,0,0,,95,79,99,76,95,,,
95,김보선,라우더스,1905.6.16,114,2년,16,1,0,0,,96,84,79,83,96,,,
96,문현주,넥스타,1905.6.20,114,3년 4개월,32,1,0,0,,97,59,101,87,97,,,
