,name,agency, birthday,age,trainee_dur,dur_month,season,Named label,CJ label,Remarks,final_rank,ep1_rank,ep2_rank,ep3_rank,rank1st,ep6_rank,rank2nd,rank3rd
0,전소미,JYP,2001.3.9,18,2년,24,1,1,0,,1,1,1,1,2,4,4,1
1,김세정,젤리피쉬,1996.8.28,23,1년 11개월,13,1,1,1,,2,2,2,2,1,1,1,2
2,최유정,판타지오,1999.11.12,20,4년 7개월,55,1,1,0,,3,11,13,8,3,2,2,3
3,김청하,M&H,1996.2.9,23,3년 3개월,39,1,0,0,,4,37,39,23,14,13,13,5
4,김소혜,레드라인,1999.7.19,20,1년,12,1,0,0,,5,24,18,16,11,7,8,4
5,주결경,플레디스,1998.12.16,21,5년 5개월,65,1,1,0,,6,3,4,6,4,6,6,19
6,정채연,MBK,1997.12.1,22,8개월,8,1,0,0,,7,4,8,10,8,10,9,12
7,김도연,판타지오,1999.12.4,20,1년 5개월,13,1,1,0,,8,28,22,14,13,8,7,11
8,강미나,젤리피쉬,1999.12.4,20,1년 1개월,17,1,1,1,,9,8,3,3,5,3,3,18
9,임나영,플레디스,1995.12.18,24,4년 7개월,55,1,1,0,,10,32,31,33,24,11,11,9
10,유연정,스타쉽,1999.8.3,20,1년 3개월,15,1,1,0,,11,63,54,55,12,9,10,10
11,한혜리,스타제국,1997.8.24,22,11개월,1,1,0,0,,12,12,16,18,22,23,16,8
12,이수현,SS,1996.9.5,23,1년 10개월,13,1,0,0,이수현B,13,14,23,25,32,33,35,22
13,김나영,젤리피쉬,1995.11.23,24,2년 3개월,27,1,1,1,,14,9,5,7,9,5,5,15
14,김소희,뮤직웍스,1995.1.20,24,1년 4개월,16,1,1,0,,15,13,17,24,23,30,22,6
15,윤채경,DSP 미디어,1996.7.7,23,4년 4개월,52,1,1,0,,16,15,14,15,21,20,15,7
16,이해인,SS,1994.7.4,25,5년,60,1,0,0,,17,19,27,34,40,19,14,14
17,박소연,로엔,1999.12.10,20,2년 2개월,26,1,1,0,,18,30,26,21,20,26,30,17
18,기희현,MBK,1995.6.16,24,1년 6개월,18,1,0,0,,19,6,9,5,6,12,12,13
19,전소연,큐브,1998.8.26,21,1년 6개월,18,1,1,0,,20,23,11,11,10,18,19,20
20,정은우,플레디스,1998.7.1,21,2년 10개월,25,1,1,0,,21,5,12,13,18,16,17,21
21,강시라,청춘뮤직,1991.6.13,28,4년 4개월,52,1,0,0,,22,42,60,62,59,61,29,16
22,응씨카이,초록뱀주나,1994.6.2,25,2년,24,1,0,0,,23,53,52,19,17,21,28,23
23,김다니,MBK,1999.12.23,20,4년 9개월,57,1,0,0,,24,7,6,4,7,14,18,24
24,박시연,플레디스,2000.11.14,19,7년,84,1,1,0,,25,27,33,40,26,17,20,25
25,허찬미,더블킥 컴퍼니,1992.4.6,27,10년 4개월,124,1,0,0,,26,16,7,9,15,28,33,26
26,황인선,쇼웍스,1987.1.31,35,3년 5개월,41,1,0,0,,27,50,28,28,36,31,31,27
27,성혜민,개인연습생,1989.3.18,30,5년 2개월,62,1,0,0,,28,39,51,53,55,25,24,28
28,강예빈,플레디스,1998.10.19,21,4년,48,1,1,0,,29,20,20,26,28,27,32,29
29,김서경,개인연습생,1999.4.16,20,2년,24,1,0,0,,30,34,43,45,30,22,27,30
30,이수민,판타지오,1999.3.28,20,4년 6개월,54,1,1,0,,31,89,87,77,45,46,34,31
31,안예슬,마제스티,1995.10.28,24,10개월,1,1,0,0,,32,38,41,30,25,34,26,32
32,김형은,케이코닉,1994.9.28,25,7년,84,1,0,0,,33,35,49,41,37,32,23,33
33,김주나,뮤직 K,1994.2.8,25,3년 9개월,45,1,0,0,,34,76,24,20,19,24,21,34
34,권은빈,큐브,2000.1.6,19,2년,24,1,1,0,,35,10,10,12,16,15,25,35
