,date,name,ratio,div
0,2019-03-22,전현우,16.0,0.0
1,2019-03-22,김관우,9.0,0.0
2,2019-03-22,이한결,54.0,0.0
3,2019-03-22,구정모,100.0,0.0
4,2019-03-22,유성준,24.0,0.0
5,2019-03-22,변성태,3.0,1.0
6,2019-03-22,김시훈,29.0,1.0
7,2019-03-22,이환,100.0,1.0
8,2019-03-22,문현빈,49.0,1.0
9,2019-03-22,권태은,5.0,1.0
10,2019-03-22,김성연,1.0,2.0
11,2019-03-22,이유진,100.0,2.0
12,2019-03-22,왕군호,3.0,2.0
13,2019-03-22,이은상,2.0,2.0
14,2019-03-22,김동윤,1.0,2.0
15,2019-03-22,김우석,57.0,3.0
16,2019-03-22,이재빈,2.0,3.0
17,2019-03-22,김민규,100.0,3.0
18,2019-03-22,황윤성,3.0,3.0
19,2019-03-22,백진,2.0,3.0
20,2019-03-22,최시혁,9.0,4.0
21,2019-03-22,최수환,100.0,4.0
22,2019-03-22,남동현,79.0,4.0
23,2019-03-22,유건민,5.0,4.0
24,2019-03-22,최진화,18.0,4.0
25,2019-03-22,이우진,54.0,5.0
26,2019-03-22,함원진,25.0,5.0
27,2019-03-22,주창욱,14.0,5.0
28,2019-03-22,강민희,21.0,5.0
29,2019-03-22,김요한,100.0,5.0
30,2019-03-22,이규형,100.0,6.0
31,2019-03-22,송형준,79.0,6.0
32,2019-03-22,김성현,64.0,6.0
33,2019-03-22,채가호,8.0,6.0
34,2019-03-22,박윤솔,12.0,6.0
35,2019-03-22,김민서,100.0,7.0
36,2019-03-22,금동현,93.0,7.0
37,2019-03-22,김진곤,33.0,7.0
38,2019-03-22,홍성준,19.0,7.0
39,2019-03-22,송창하,44.0,7.0
40,2019-03-22,픽,94.0,8.0
41,2019-03-22,권희준,100.0,8.0
42,2019-03-22,김현빈,70.0,8.0
43,2019-03-22,윤민국,87.0,8.0
44,2019-03-22,홍성현,15.0,8.0
45,2019-03-22,최병찬,100.0,9.0
46,2019-03-22,위자월,1.0,9.0
47,2019-03-22,정영빈,11.0,9.0
48,2019-03-22,이태승,23.0,9.0
49,2019-03-22,한승우,46.0,9.0
50,2019-03-22,이원준,16.0,10.0
51,2019-03-22,정명훈,13.0,10.0
52,2019-03-22,윤정환,7.0,10.0
53,2019-03-22,차준호,100.0,10.0
54,2019-03-22,윤현조,2.0,10.0
55,2019-03-22,스티븐킴,3.0,11.0
56,2019-03-22,이준혁,100.0,11.0
57,2019-03-22,남도현,3.0,11.0
58,2019-03-22,김승환,17.0,11.0
59,2019-03-22,조승연,42.0,11.0
60,2019-03-22,히다카마히로,0.0,12.0
61,2019-03-22,정재훈,49.0,12.0
62,2019-03-22,원혁,61.0,12.0
63,2019-03-22,이진혁,58.0,12.0
64,2019-03-22,이미담,100.0,12.0
65,2019-03-22,허진호,6.0,13.0
66,2019-03-22,유리,100.0,13.0
67,2019-03-22,오새봄,13.0,13.0
68,2019-03-22,김형민,12.0,13.0
69,2019-03-22,성민서,3.0,13.0
70,2019-03-22,이협,0.0,14.0
71,2019-03-22,임다훈,0.0,14.0
72,2019-03-22,손동표,100.0,14.0
73,2019-03-22,강석화,2.0,14.0
74,2019-03-22,김민서,3.0,14.0
75,2019-03-22,송유빈,100.0,15.0
76,2019-03-22,최병훈,1.0,15.0
77,2019-03-22,김동규,8.0,15.0
78,2019-03-22,이하민,2.0,15.0
79,2019-03-22,토니,7.0,15.0
80,2019-03-22,원현식,8.0,16.0
81,2019-03-22,우제원,5.0,16.0
82,2019-03-22,이세진,74.0,16.0
83,2019-03-22,박선호,100.0,16.0
84,2019-03-22,김동빈,16.0,16.0
85,2019-03-22,김영상,20.0,17.0
86,2019-03-22,앙자르디 디모데,0.0,17.0
87,2019-03-22,김국헌,100.0,17.0
88,2019-03-22,박진열,32.0,17.0
89,2019-03-22,황금률,43.0,17.0
90,2019-03-22,강현수,16.0,18.0
91,2019-03-22,한기찬,3.0,18.0
92,2019-03-22,박시온,3.0,18.0
93,2019-03-22,이진우,100.0,18.0
94,2019-03-22,문준호,9.0,18.0
95,2019-03-22,이상호,100.0,19.0
96,2019-03-22,우에하라준,26.0,19.0
97,2019-03-22,최준성,3.0,19.0
98,2019-03-22,김준재,2.0,19.0
99,2019-03-23,권태은,3.0,0.0
100,2019-03-23,한승우,31.0,0.0
101,2019-03-23,김민서,100.0,0.0
102,2019-03-23,강석화,29.0,0.0
103,2019-03-23,정재훈,55.0,0.0
104,2019-03-23,박진열,4.0,1.0
105,2019-03-23,이상호,100.0,1.0
106,2019-03-23,김영상,2.0,1.0
107,2019-03-23,정영빈,4.0,1.0
108,2019-03-23,조승연,78.0,1.0
109,2019-03-23,유성준,1.0,2.0
110,2019-03-23,김동빈,8.0,2.0
111,2019-03-23,이세진,100.0,2.0
112,2019-03-23,이원준,3.0,2.0
113,2019-03-23,김진곤,1.0,2.0
114,2019-03-23,이준혁,100.0,3.0
115,2019-03-23,최시혁,1.0,3.0
116,2019-03-23,권희준,34.0,3.0
117,2019-03-23,김국헌,8.0,3.0
118,2019-03-23,박선호,81.0,3.0
119,2019-03-23,주창욱,4.0,4.0
120,2019-03-23,오새봄,4.0,4.0
121,2019-03-23,위자월,0.0,4.0
122,2019-03-23,이협,0.0,4.0
123,2019-03-23,손동표,100.0,4.0
124,2019-03-23,백진,13.0,5.0
125,2019-03-23,송창하,100.0,5.0
126,2019-03-23,앙자르디 디모데,0.0,5.0
127,2019-03-23,남도현,39.0,5.0
128,2019-03-23,황윤성,53.0,5.0
129,2019-03-23,김동규,43.0,6.0
130,2019-03-23,허진호,16.0,6.0
131,2019-03-23,이우진,100.0,6.0
132,2019-03-23,박시온,7.0,6.0
133,2019-03-23,강현수,26.0,6.0
